Candidate,Party,Votes
GUTTEDAR SUBHASH RUKMAYYA,Bharatiya Janata Party,76815
B R PATIL,Indian National Congress,76118
ARUNKUMAR C PATIL HALLISALGAR,Janata Dal (United),2213
SURYAKANT K KORALLI,Janata Dal (Secular),1387
SWAMI SHIVAYYA,Independent,808
RATNAPPA RAMCHANDRAPPA,Independent,393
AFZAL ANSARI,All India Mahila Empowerment Party,390
SHARANAPPA BHIMSHA ZALAKE,Bhaarateeya Janashakthi Congress,388
KUSHAL CHATTRU RATHOD,National Development Party,344
ANSARI JAHEER,Independent,199
D K KONKATE KERROR,Rashtriya Samaj Paksha,109
None of the Above,None of the Above,1445
