Candidate,Party,Votes
B.SHIVANNA,Indian National Congress,113894
A.NARAYANASWAMY,Bharatiya Janata Party,105267
G. SRINIVAS,Bahujan Samaj Party,2932
D.MAHADESH,Communist Party of India (Marxist),1425
MUNIKRISHNAPPA,All India Mahila Empowerment Party,481
C.NARAYANASWAMY,Independent,436
MANJUNATH V,Independent,247
A.NARAYANASWAMY,Independent,229
M.MUNIYALLAMMA,Republican Sena,216
VENKATESHAPPA,Sarva Janata Party,178
Y.RAVINDRA,Bharatiya Praja Paksha,132
AMARESH.Y,Independent,125
None of the Above,None of the Above,2115
