Candidate,Party,Votes
MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,82094
LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,79763
GIRISH KEDAREPPA BUTALI,Janata Dal (Secular),3381
MAHAVEER DASHARATH MANOJI,All India Mahila Empowerment Party,912
RAJESH BABU SHINGE,Independent,880
NINGAPPA SUBHAS GURAV,Praja Parivartan Party,827
SHIVAMALLAPPA BASAPPA KULALI,Independent,725
ARJUN BHAGAVANT PATIL,Independent,541
MEHABUB ASLAM SHAIKH,Bahujan Mukti Party,210
VITTHAL NINGAPPA PUJARI,Namma Congress,207
BASAPPA KALLAPPA HANCHINAL,Hindustan Janta Party,183
None of the Above,None of the Above,842
