Candidate,Party,Votes
VEERABHADRAYYA (VEERANNA) CHARANTIMATH,Bharatiya Janata Party,85653
METI HULLAPPA YAMANAPPA,Indian National Congress,69719
MOHAN MALLIKARJUAN JIGALUR,Bahujan Samaj Party,996
PARASHURAM LAXMAN NEELNAIK,Bharatiya Republican Paksha,931
MOHAMMEDSALEEM DONGRISAB PATHAN,Independent,756
HIREAMATH VEERABHADRAYYA RUDRAYYA,Independent,388
MALLINATH IRANNAYYA HIREMATH,Praja Parivartan Party,236
MANOHAR SOMAPPA METI,Independent,227
AMARASAB NOORSAB PUNEKAR,Independent,201
MOSHEENKHAN MUNIRAAHMAD KHAJI,Indian New Congress Party,182
BABUSHA DASTAGIRASAB ROLLI URF R.D BABU,Independent,171
NAGARAJ SHIVAPUTRAPPA KALAKUTAGAR,Independent,149
None of the Above,None of the Above,1902
