Candidate,Party,Votes
S.N. SUBBAREDDY(CHINNAKAYALAPALLI),Indian National Congress,65710
G.V. SREERAMAREDDY,Communist Party of India (Marxist),51697
DR. C. R. MANOHAR,Janata Dal (Secular),38302
SAIKUMAR. P.,Bharatiya Janata Party,4140
TAHSEEN TAJ,Samajwadi Party,851
GUNJURU R SRINIVASAREDDY,Independent,845
A. N. NARENDRA MELINA APPIREEDY HALLI,Independent,720
T. S .SOMASHEKAR,Independent,424
T. RAMAPPA,Independent,300
R. MUNIRAJU.,Samanya Janatha Party (Loktantrik),190
UTTAMKUMAR. V,Independent,155
V. NARASIMHAMURTHY,Lok Awaz Dal,141
S. N. GOVINDAREDDY.,Independent,133
H. N. RAMAKRISHNA REDDY,Pyramid Party of India,126
B. A. BABAJAN,All India Mahila Empowerment Party,114
None of the Above,None of the Above,680
