Candidate,Party,Votes
B. NARAYANRAO,Indian National Congress,61425
MALLIKARJUN SON OF SIDRAMAPPA KHUBA,Bharatiya Janata Party,44153
P.G.R. SINDHIA,Janata Dal (Secular),31414
DEEPAK MALGAR,Aam Aadmi Party,1747
SHRIMANTHRAO ARJUNRAO,Independent,840
RAM SON OF INDRAJEET,Nationalist Congress Party,783
PURUSHOTAM,All India Mahila Empowerment Party,749
AJINKYA MULAY,Bahujan Mukti Party,655
CHANDRAKANTH GYANOBA RANE,Independent,490
BABU PASHA MOINODDIN,Independent,443
ANIL GURUNATH,BhartiyaBahujanKranti Dal,441
VIJAY KUMAR,Independent,418
C. NARAYAN,Independent,358
None of the Above,None of the Above,1410
