Candidate,Party,Votes
ABHAY PATIL,Bharatiya Janata Party,84498
M D LAKSHMINARAYAN (ANNAYYA),Indian National Congress,25806
PRAKASH APPAJI MARAGALE,Independent,21537
KIRAN KRISHNA SAYNAK,Independent,8295
N. S. SHANKARACHARYA,Independent,1392
CHANGADEV KUGAJI @ MAHESH KUGAJI,Janata Dal (Secular),940
VARDHMAN DEVENDRA GANGAI,Independent,932
MAHANTESH B.RANAGATTIMATH,All India Mahila Empowerment Party,613
SUJIT MADIWALAPPA MULGUND,Independent,531
SNEHA N.CHODANKAR,Ambedkar Samaj Party,199
VINAYAK KASHINATH JADHAV,Independent,180
SADANAND R. METRI,Aam Aadmi Party,180
ANITA SHANKAR DODAMANI,Independent,138
None of the Above,None of the Above,1474
