Candidate,Party,Votes
ANIL S BENAKE,Bharatiya Janata Party,79060
FAIROZ NURUDDIN SAITH,Indian National Congress,61793
BALASAHEB SHIVAJIRAV KAKATKAR,Independent,1869
ASHFAQ AHMED MADAKI,Janata Dal (Secular),1143
SANTOSH BAVADEKAR,Independent,472
RAHIM DODDAMANI,Nationalist Congress Party,353
SUVARNA P DODAMANI,Samanya Janatha Party (Loktantrik),263
SAMBHAJI LAXMAN PATIL,Independent,249
AHMAR ABDULSATTAR GOVE,All India Mahila Empowerment Party,168
MAGADUM GOUSMOHIUDDIN ISMAILMAGADUM,Independent,161
KURSHIDBANU ASLAM NADAF,Ambedkar Samaj Party,137
NADAF FAKARUSAB HASANSAB,Aam Aadmi Party,111
K SANTOSH KUMAR,BhartiyaBahujanKranti Dal,104
GANESH PRAKASH SINGANNAVAR,Republican Party of India,94
MOHAMMEDRASUL BEPARI,Namma Congress,88
None of the Above,None of the Above,1361
