Candidate,Party,Votes
B.K.SANGAMESHWARA.,Indian National Congress,75722
APPAJI.M.J.,Janata Dal (Secular),64155
PRAVEEN PATEL.G.R.,Bharatiya Janata Party,8974
SHASHIKUMAR S.GOWDA.,Independent,572
MUMTAZ BEGUM,All India Mahila Empowerment Party,450
S.K.SUDHEENDRA.,Independent,348
JOHN BENNY,Independent,252
RAVI KUMAR.H,Aam Aadmi Party,219
VENKATESHA,Independent,194
P.E. BASAVARAJ,Independent,172
B.N.NAGRAJA (B.N.RAJU),Independent,116
OM VIJAY VAMSHI,Independent,104
AHAMED ALI,Independent,98
KOMALA KUMARI. R,Independent,74
None of the Above,None of the Above,1427
