Candidate,Party,Votes
SATHISH REDDY M,Bharatiya Janata Party,111863
SUSHMA RAJAGOPALA REDDY,Indian National Congress,64701
T R PRASAD,Janata Dal (Secular),9379
SOMASHEKAR.N,Praja Parivartan Party,2142
DR.P.ANILKUMAR,Independent,1143
SUSHMA RAMESH,Independent,576
SUSHMA SANDEEP,Independent,460
SADARULLA,Independent,352
SYED ISMAIL,Independent,347
SHEEBA C P,Independent,335
MADHUSUDAN REDDY,Jai Bharath Jena Sena Party,320
V MADESHA,Independent,271
KUPENDRA,Independent,243
ABDUL KADIR GSY,Independent,224
SHAIK IMRAN,All India Mahila Empowerment Party,161
G VENKATESH BHOVI,Shivsena,150
RATHNAMMA,Rashtriya Manav Vikas Party,146
PAVITHRA GUNDEGOWDA,Independent,120
DILIP KUMAR,Independent,86
None of the Above,None of the Above,2491
