Candidate,Party,Votes
S. RAGHU,Bharatiya Janata Party,58887
R. SAMPATH RAJ,Indian National Congress,46660
P. RAMESH,Janata Dal (Secular),20478
MOHANA DASARI,Aam Aadmi Party,1926
S.R. JAYARAM,All India Mahila Empowerment Party,384
I. VENKATESH,Independent,310
S. RAGHU,Independent,240
MUNIMARAPPA M.,Ambedkarite Party of India,228
VENKATESH .N.,Independent,211
P. SHANMUGA PRABHU,Republican Sena,124
R MOHAN RAJU,Bharatiya Republican Paksha,117
NANDA KUMAR,Bharatiya Prajagala Kalyana Paksha,114
SRINIVASA M.,Republican Party of India (A),71
None of the Above,None of the Above,2259
