Candidate,Party,Votes
H D KUMARA SWAMY,Janata Dal (Secular),87995
C P YOGEESHWARA,Bharatiya Janata Party,66465
H M REVANNA,Indian National Congress,30208
RATNAMMA,Independent,927
YOGISHA M,Independent,488
ASHWATH P,Ambedkar Samaj Party,473
T M MANCHEGOWDA,Independent,417
J T PRAKASH,Indian New Congress Party,381
B M LOKESH,All India Mahila Empowerment Party,121
NAVYASHREE R,Independent,109
JAI KISSAN S R,Independent,80
K N SIDDARAJU,Dr. Ambedkar People's Party,79
SHILPA K P,Samanya Janatha Party (Loktantrik),71
A KRISHNA,Independent,50
K V MANU,Rashtriya Manav Vikas Party,46
None of the Above,None of the Above,1103
