Candidate,Party,Votes
C T RAVI,Bharatiya Janata Party,70863
SHANKAR B L,Indian National Congress,44549
HARISHA B H,Janata Dal (Secular),38317
M G VIJAYAKUMAR,Independent,1419
LAKSHMANA,Independent,849
VISHWANATHAN M,Independent,792
NURULLA KHAN,All India Mahila Empowerment Party,528
B V RANJITH,Shivsena,383
K R RAMASHETTY,Independent,329
H D REVANNA,Independent,272
JOHAR ANJUM,Independent,264
K ANANDASHETTY,Independent,243
G M JAYAKUMAR,Independent,229
MOHSINA,Independent,223
YOGEESHA N H,Independent,204
MANSOOR AHMED,Independent,194
MUNIYA BHOVI,Independent,132
B M THIMMA SHETTY,Independent,124
None of the Above,None of the Above,1224
