Candidate,Party,Votes
J.C. MADHU SWAMY,Bharatiya Janata Party,69612
C.B SURESHBABU,Janata Dal (Secular),59335
SANTHOSH JAYACHANDRA,Indian National Congress,45893
RAMACHANDRAIAH,Indian New Congress Party,1154
DR.M.K PASHA,All India Mahila Empowerment Party,1020
H.P. RANGALAKSHMI,Independent,650
RANGASWAMY K,Independent,490
K.S. SATHEESH KENKERE,Karnataka Rajya Ryota Sangha,465
HOSAHALLI CHANDRANNA,Independent,379
JAGRUTHI ANANDA .S,Independent,280
M.V. REDDY,Janata Dal (United),269
None of the Above,None of the Above,1116
