Candidate,Party,Votes
DR. UMESH G JADHAV,Indian National Congress,73905
SUNIL Y VALLYAPURE,Bharatiya Janata Party,54693
SUSHILABAI B KORVI,Janata Dal (Secular),1621
MITHUN KHEMU RATHOD,Independent,391
VIJAYLAXMI LAXMAN OMKAR,All India Mahila Empowerment Party,317
BASAVARAJ ANWARKAR,Independent,246
GOUTAM MANIK MORE,Namma Congress,233
BASAWARAJ M WADI,Indian New Congress Party,185
SRIKANT MANIKRAO,Dr. Ambedkar People's Party,176
SHANKAR JADHAV,Bharatiya Peoples Party,149
None of the Above,None of the Above,1082
