Candidate,Party,Votes
T VENKATARAMANAIAH,Indian National Congress,73225
B MUNEGOWDA,Janata Dal (Secular),63280
J NARASIMHASWAMY,Bharatiya Janata Party,27612
DR.K.N.VENKATESH,Independent,1018
GOWRAMMA,Republican Sena,668
M SRINIVAS,Independent,592
M JAYALAKSHMI,All India Janaraksha Party,286
MUNEGOWDA,Independent,194
Y VENKATARAMANAPPA,Independent,181
MALLESH M,Federal Congress of India,156
M MANJUNATH,All India Mahila Empowerment Party,143
S PURUSHOTHAM,Janata Dal (United),132
T.M.VENKATARAMANAIAH,Karnataka Pragnyavantha Janatha Party,129
IBRAHIM SHARIFF TUBHAGERE SHARIFF,Independent,125
None of the Above,None of the Above,1016
