Candidate,Party,Votes
HANAMANTAGOUDA KRISHNAGOUDA PATIL,Indian National Congress,77699
ANIL MENSINAKAI,Bharatiya Janata Party,75831
BASANAGOUDA M PATIL,Indian New Congress Party,1043
MANJUNATH BASAPPA ABBIGERI,Independent,1034
MAHABOOBSAB R SOMPUR,Bahujan Samaj Party,985
SHIRAJ URF SHIRAJAHMAD BALLARY,All India Mahila Empowerment Party,791
VISHWANATH KHANAPUR,Independent,422
ABDULKHADARSAB A,Independent,272
MALLIKARJUN BASAPPA DESAI,Rani Chennamma Party,219
SHIVARADDEPPA S REDDAR,Janata Dal (United),187
None of the Above,None of the Above,2007
