Candidate,Party,Votes
V SOMANNA,Bharatiya Janata Party,79135
PRIYAKRISHNA,Indian National Congress,67760
A NAGENDRA PRASAD,Janata Dal (Secular),7090
DR K S GANGADHARA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),329
S SURESH,Independent,298
N HANUMEGOWDA,Independent,230
PARVEEZ KHAN P,Samanya Janatha Party (Loktantrik),211
SHIVARAJU G,Independent,122
PRABHU,Sarva Janata Party,94
GOVINDAIAH B R,Independent,75
M UMASHANKAR,Independent,69
RAGHUNATH A P,Independent,66
JAYACHANDRA H,Independent,58
SREEDHAR V S,Rani Chennamma Party,54
YATHIS M,Independent,51
None of the Above,None of the Above,1589
