Candidate,Party,Votes
S R SRINIVAS (VASU),Janata Dal (Secular),55572
G N BETTASWAMY,Bharatiya Janata Party,46491
S D DILIP KUMAR (SHIVASANDRA),Independent,30528
K KUMAR (BALAJI KUMAR),Indian National Congress,13938
H T KRISHNAPPA,Independent,3296
PRABHUSWAMI B S,Aam Aadmi Party,1129
BETTASWAMY,Independent,983
DILEEP KUMAR K U,Independent,813
SRINIVAS,Independent,660
SHIVAKUMAR M S,Karnataka Pragnyavantha Janatha Party,457
NAGANNA G K,Independent,383
A B AJAZ PASHA,Independent,265
RAJU B S,All India Mahila Empowerment Party,227
RAVIKUMAR M K,Republican Sena,221
None of the Above,None of the Above,457
