Candidate,Party,Votes
DATTATRAYA C PATIL REVOOR APPU GOUDA,Bharatiya Janata Party,64788
ALLAMPRABHU PATIL,Indian National Congress,59357
BASAVARAJ DIGGAVI,Janata Dal (Secular),14359
SURYAKANT NIMBALKAR,Bahujan Samaj Party,1853
RIZWAN UR RAHMAN SIDDIQUI,Independent,597
MAQBOOL KHAN HEERAPUR,Independent,479
M S UDANOOR,Indian New Congress Party,288
PRAHLAD MATMARI,Independent,259
SYED ABDUL BARI,Welfare Party Of India,252
JAGANNATH M CHAWAN,National Development Party,229
RATNA SUKHJINDER SINGH,All India Mahila Empowerment Party,184
VIRANNA KORALLI,Shivsena,179
DHARMAVEER S PUJARI,Independent,171
CHANDSAB MAKTUMSAB BHIMALLI,Independent,138
RAMADEVI RAJKUMAR MADGI,Shramajeevi Party,115
None of the Above,None of the Above,1114
