Candidate,Party,Votes
KANEEZ FATIMA,Indian National Congress,64311
CHANDRAKANT B PATIL (CHANDU PATIL),Bharatiya Janata Party,58371
NASIR HUSSAIN USTAD,Janata Dal (Secular),14422
WAHAJ BABA,Independent,7166
MOHAMMED MOHSIN,SOCIAL DEMOCRATIC PARTY OF INDIA,797
MOHD SHAFEE KHASIM PATEL,Independent,675
SYED IMRAN SYED ABDUL RAHEMAN,Independent,450
SANJEEVKUMAR KARIKAL,Aam Aadmi Party,198
ABDUL HAMEED DABUR,Akhil Bharatiya Muslim League (Secular),188
SHAMALA M UDNOOR,Indian New Congress Party,174
SAKINA PATEL,All India Mahila Empowerment Party,160
JALALUDDIN QADRI,Independent,151
PRAKASH RATHOD,BhartiyaBahujanKranti Dal,149
RUKUM SHAH,All India Ulama Congress,121
ABDUL BASEER,Independent,103
None of the Above,None of the Above,1116
