Candidate,Party,Votes
BHEEMA NAIK L.B.P.,Indian National Congress,78337
K.NEMIRAJA NAIK,Bharatiya Janata Party,71105
PARAMESHWARA.L,Independent,17058
S.KRUSHNA NAIK,Janata Dal (Secular),5100
B.MALAMMA,Communist Party of India (Marxist),1493
AJJAIAH.H,All India Mahila Empowerment Party,675
V.HANUMANTHAPPA,All India Forward Bloc,521
SANTHOSH GULEDATTI,Communist Party of India (Marxist-Leninist) (Liberation),305
C.H.LINGAPPA CHALUVADI,Republican Party of India,257
None of the Above,None of the Above,1345
