Candidate,Party,Votes
G KARUNAKARA REDDY,Bharatiya Janata Party,67603
M P RAVINDRA,Indian National Congress,57956
ARASIKERE N KOTRESH,Janata Dal (Secular),37685
ABDUL BHARI,Janahitha Paksha,783
KRISHNAMURTHY R,Nationalist Congress Party,733
LALITHAMMA,All India Mahila Empowerment Party,631
B VINAYAKUMAR,Independent,404
H T SHREEPATHI,Independent,394
A T DADAKHALANDAR,Independent,331
IDLI RAMAPPA,Communist Party of India (Marxist-Leninist) (Liberation),306
G KALIVEERAGOUDA,Independent,238
GADAGI GAJENDRA,Independent,219
B L CHANNANAIK,Samajwadi Party,177
None of the Above,None of the Above,954
