Candidate,Party,Votes
S RAMAPPA,Indian National Congress,64801
HARISH B.P.,Bharatiya Janata Party,57541
SHIVASHANKAR H.S.,Janata Dal (Secular),38204
P BEERAPPA,Indian New Congress Party,1714
SANKETH S.,Independent,427
H NAGARAJA PALEGARA,Independent,329
NAGAPPA D.,Independent,274
BEERAPPA,Communist Party of India (Marxist-Leninist) (Liberation),174
SHABBIR AHAMED,Samanya Janatha Party (Loktantrik),159
NAVEEN T.K.,Independent,155
THIPPESH L,Independent,143
None of the Above,None of the Above,1006
