Candidate,Party,Votes
PREETHAM J GOWDA,Bharatiya Janata Party,63348
H S PRAKASH,Janata Dal (Secular),50342
H K MAHESH,Indian National Congress,38101
ZAREEN TAJ,All India Mahila Empowerment Party,378
R G SATHISH,Independent,366
MOHAMMED SHARJEEL,Independent,214
DHARMEGOWDA,Bharatiya Dr. B.R.Ambedkar Janta Party,146
AKMAL JAVEED,Independent,146
SATHISH K H,Republican Party of India (A),106
K J JACOB,Independent,99
NIRVANAIAH K S,Republican Sena,93
HEMANTH KUMAR C,Shivsena,82
H A NANJEGOWDA,Lok Awaz Dal,64
None of the Above,None of the Above,953
