Candidate,Party,Votes
K POORNIMA,Bharatiya Janata Party,77733
D SUDHAKAR,Indian National Congress,64858
D YASHODHARA,Janata Dal (Secular),42044
D.N.NAGENDRAIAH,Samajwadi Party,758
M P SRIRANGANATHA,Independent,415
S R RANGASWAMY,Independent,329
SAMIULLA,All India Mahila Empowerment Party,313
MAHESH R,Bharatiya Rashtriya Mahila Sarvodaya Congress,267
N VIJAYALAKSHMI,Karnataka Jantha Paksha,229
RANGAIAH S,Independent,223
A SHIVASHANKARAPPA,Prajaa Raita Raajya Paksha,177
SHASHIKANTH C M,Pyramid Party of India,144
H LOKESH,Republican Party of India (A),137
None of the Above,None of the Above,1160
