Candidate,Party,Votes
ARVIND BELLAD,Bharatiya Janata Party,96462
MOHAMMAD ISMAIL TAMATGAR,Indian National Congress,55975
MAKTUMHUSENI SOGALAD,Independent,670
RAMA RANGANATH KULKARNI,Independent,441
JAVEEDAHAMED BELGAUMKAR,Janata Dal (United),414
IRAPPA K. EMMI,Nationalist Congress Party,389
NAGARAJ C BADIGER,Independent,281
LATHA NETHAJI TERDAL,All India Mahila Empowerment Party,279
CHANDRASHEKHAR ANEMATH,Independent,243
MANJUNATH S. HALAGALIMATH,Karnataka Pragnyavantha Janatha Party,193
VINOD GHODKE,Proutist Bloc, India,114
MANNARI VADIRAJ,All India Hindustan Congress Party,108
RAJU KAMBLE,Azad Mazdoor Kissan Party,107
REVANSHIDDAPPA BASAVARAJ TALAWAR,Janahitha Paksha,90
None of the Above,None of the Above,1962
