Candidate,Party,Votes
ADAGURU H VISHWANATH,Janata Dal (Secular),91667
H P MANJUNATH,Indian National Congress,83092
J S RAMESH KUMAR,Bharatiya Janata Party,6406
HARISHA J M,Independent,743
SATHYANARAYANA,Samajwadi Party,498
P S YADURAPPA,Independent,332
H B SHIVANNA,Independent,319
MOHAN H R,Independent,282
MALLESH,Bharatiya Republican Paksha,258
H P LAKSHMANA,Independent,243
KHALANDAR SHARIFF,Independent,240
UMESH,Independent,169
HUNSUR K. CHANDRASHEKAR,Democratic Prajakranthi Party Secularist,160
D MARISWAMY NAYAKA,Independent,156
SYED GAFUR,All India Mahila Empowerment Party,129
None of the Above,None of the Above,1534
