Candidate,Party,Votes
S.V.RAMACHANDRA,Bharatiya Janata Party,78948
H.P.RAJESH,Indian National Congress,49727
DEVENDRAPPA.B,Janata Dal (Secular),13401
A.L.PUSHPA LAKSHMANA SWAMY,Independent,1856
AJJAPPA.T,Communist Party of India (Marxist-Leninist) (Liberation),847
M. NAGENDRAPPA,Independent,531
M.B.HANUMANTHAPPA,Independent,509
P.BASAVARAJA,Karnataka Rajya Ryota Sangha,464
B.H.SIDDAPPA,Samajwadi Party,358
G.N.BHEEMAPPA,Independent,341
G.KENCHANAGOWDA,Independent,273
CHANDRANNA,Independent,225
None of the Above,None of the Above,855
