Candidate,Party,Votes
BASAVARAJ DADESUGUR,Bharatiya Janata Party,87735
SHIVARAJ SANGAPPA TANGADAGI,Indian National Congress,73510
MANJULA RAVIKUMAR,Janata Dal (Secular),1464
KENCHAPPA HIREKHEDA,Communist Party of India (Marxist-Leninist) (Liberation),843
DR. M P DARKESWARAIAH,Independent,686
RAMESH CHANNADASAR,Independent,572
MUKKANNA RAMACHANDRAPPA NAIK,All India Mahila Empowerment Party,443
K ERANNA,Independent,273
KOTI RAMESH,Janahitha Paksha,160
K H HULAGANNA,Sarva Janata Party,143
None of the Above,None of the Above,1676
