Candidate,Party,Votes
DODDAGOUDAR MAHANTESH BASAVANTARAY,Bharatiya Janata Party,73155
INAMDAR DANAPPAGOUDA BASANAGOUDA,Indian National Congress,40293
BABASAHEB DEVANAGOUDA PATIL,Independent,25366
SURESH SHIVARUDRAPPA MARIHAL,Janata Dal (Secular),3755
RAGHAVENDRA VILAS NAIK,Independent,1137
BABU ABDULSAB HAAJI,Independent,723
TANGEVVA ADIVEPPA IRAGAR,All India Mahila Empowerment Party,686
SIDDAPPA BASAVANNEPPA DOLLIN,Namma Congress,663
MAHANTESH KRISHNA HOTAKAR,Indian New Congress Party,457
ANAND IRAPPA HAMPANNAVAR,Aam Aadmi Party,453
ASHOK BHEEMAPPA NAIK,Independent,368
None of the Above,None of the Above,1456
