Candidate,Party,Votes
K. RAGHAVENDRA BASAVARAJ HITNAL,Indian National Congress,98783
AMARESH SANGANNA KARADI,Bharatiya Janata Party,72432
K. M. SYED,Janata Dal (Secular),4185
MANJUNATH GAVISIDDAPPA PALLED,Janahitha Paksha,966
SIDDARAMAPPA BHARAMAPPA DODDAMANI (KAVALUR),Independent,672
HANUMESH. G. MYAGALAMANI,Communist Party of India (Marxist-Leninist) Red Star,602
SANJAY,Independent,561
PAMPAPATI. RATI,Independent,515
SURESHGOUDA SOMANAGOUDA PATIL,Independent,359
HADAPAD MALLIKARJUNA NIJAGUNAPPA,Independent,253
None of the Above,None of the Above,1454
