Candidate,Party,Votes
DINAKAR KESHAV SHETTY,Bharatiya Janata Party,59392
SHARADA MOHAN SHETTY,Indian National Congress,26642
SURAJ NAIK SONI,Independent,20474
NAYAK PRADEEP DAYANAND,Janata Dal (Secular),16561
YASHODHAR G. NAIK,Independent,11512
KRISHNA JATTI GOUDA,Independent,5089
MOHAN BAGLU PATGAR,Indian New Congress Party,1274
NAGRAJ .N. NAIK,All India Mahila Empowerment Party,984
SUMANA HEGDE,Independent,758
PRASHANT SHANKAR NAIK,Independent,531
GANESH AMKUSH GOUDA,Independent,412
NAGRAJ SHRIDHAR SHET,Rashtriya Jansambhavna Party,356
None of the Above,None of the Above,2192
