Candidate,Party,Votes
D.C.THAMMANNA,Janata Dal (Secular),109239
MADHU G MADEGOWDA,Indian National Congress,55209
MADDURU SATHISHA,Bharatiya Janata Party,4159
LINGEGOWDA S H,Swaraj India,450
VENKATESHA,Independent,429
SHIVAMADEGOWDA K R,Independent,404
VENKATESHA B,Dr. Ambedkar People's Party,182
DR.MANOJITH S S,Federal Congress of India,151
P.S. MAHESH KUMAR,Independent,146
MAHESHA S,Independent,101
CHETHAN B,Independent,98
N C PUTTARAJU,Independent,90
HEENA KOUSER,All India Mahila Empowerment Party,87
None of the Above,None of the Above,1350
