Candidate,Party,Votes
DR. ASHWATH NARAYAN.C.N.,Bharatiya Janata Party,83130
KENGAL SHREEPADHARENU,Indian National Congress,29130
MADHUSUDHAN N,Janata Dal (Secular),7884
SUBRAMANYA SHARMA GOURAVARAM,All India Mahila Empowerment Party,273
N RAJANNA,Independent,185
ADITYA .R .A,Independent,158
R VENKATESH,Jai Bharath Jena Sena Party,157
ANAND M.B.,Kannada Paksha,126
KRISHNAIAH,Rashtriya Manav Vikas Party,106
MANDAGERE RAMAKUMAR,Karunaadu Party,95
MALLIKARJUN L S,Jana Samanyara Party (Karnataka),91
PRAKASH K R,Independent,88
P R PRADEEP,Independent,85
None of the Above,None of the Above,2157
