Candidate,Party,Votes
K.Y. NANJEGOWDA,Indian National Congress,75677
K.S.MANJUNATH GOWDA,Janata Dal (Secular),57762
ES.EN.KRISSHNAIAH SETTY MALUR,Bharatiya Janata Party,23889
K.GOPALAPPA,Indian New Congress Party,1291
AMARANATHA.K,Akhil Bharat Hindu Mahasabha,454
B.M.MANJUNATHA,Independent,439
RAVIKUMAR (M.G.R),Ambedkarite Party of India,232
SRINIVASA.N,Independent,232
MANJUNATHA,Independent,229
N.DEVANANDABABU,Independent,207
H.M.KRISHNAIAH SHETTY,Independent,149
C. THAMMAPPA,Samajwadi Party,105
None of the Above,None of the Above,696
