Candidate,Party,Votes
M SRINIVAS,Janata Dal (Secular),69421
P RAVIKUMAR,Indian National Congress,47813
N SHIVANNA,Bharatiya Janata Party,32064
DR S C SHANKAREGOWDA,Independent,10564
H C SHIVARAMU,Independent,1814
KAVERI SHREYA M J,All India Mahila Empowerment Party,670
M B NAGANNA GOWDA,Independent,419
RAJESHA CHAKANAHALLI,Independent,363
KRISHNA C M,Independent,308
SHIVAKUMAR B S,Karnataka Pragnyavantha Janatha Party,292
MANJUNATHA S J,Independent,249
K MALLESHA,Independent,180
M C NITHYANANDA,Independent,162
None of the Above,None of the Above,1008
