Candidate,Party,Votes
D. VEDAVYASA KAMATH,Bharatiya Janata Party,86545
J. R. LOBO,Indian National Congress,70470
SUNIL KUMAR BAJAL,Communist Party of India (Marxist),2329
R. SRIKAR PRABHU,Independent,861
RATHNAKARA SUVARNA,Janata Dal (Secular),773
MADAN M.C.,Independent,708
MOHAMMED IQBAL,All India Mahila Empowerment Party,230
REENA PINTO,Independent,148
DHARMENDRA,Akhil Bharat Hindu Mahasabha,97
MAHAMMAD KHALID,Independent,94
SUPREETH KUMAR POOJARY,Hindustan Janta Party,69
None of the Above,None of the Above,1063
