Candidate,Party,Votes
N. LINGANNA.,Bharatiya Janata Party,50556
K.S.BASAVARAJ [BASAVANTHAPPA],Indian National Congress,44098
ANANDAPPA.H.,Independent,27321
M.BASAVARAJANAIK,Janata Dal (United),16640
SHEELA NAIK,Janata Dal (Secular),11085
H. NARASIMHAMURTHY,Samanya Janatha Party (Loktantrik),930
BHARATH.L,Independent,902
VIMALA RUDRAPPA,All India Mahila Empowerment Party,671
SRINIVASA.P,Akhil Bharat Hindu Mahasabha,660
M.NAGARAJAPPA,Independent,618
K.C. BASAVARAJAPPA.,Karnataka Pragnyavantha Janatha Party,424
None of the Above,None of the Above,1258
