Candidate,Party,Votes
AMEENAPPA GOUDA S PATIL (NADAHALLI),Bharatiya Janata Party,63512
APPAJI URF CHANNABASAVARAJ SHANKARARAO NADAGOUDA,Indian National Congress,54879
MANGALADEVI BIRADAR,Janata Dal (Secular),9845
V P RAKSHITH,Namma Congress,3093
AYYAPPA DORE,Jana Samanyara Party (Karnataka),2981
PRABHUGOUDA GOUDRA,Independent,745
NAGUR METI SHRIDHAR,Independent,662
GANGADAR SHANKARRAO NADAGOUDA,Independent,630
BIBIHAJARA A NIDAGUNDI,All India Mahila Empowerment Party,587
BAPUGAOUDA PATIL,Shivsena,315
HONNAPPA S RAMATHIRTHA,Bharatiya Prajagala Kalyana Paksha,254
None of the Above,None of the Above,1295
