Candidate,Party,Votes
H.NAGESH,Independent,74213
SAMRUDDHI MANJUNATH,Janata Dal (Secular),67498
AMARESH,Bharatiya Janata Party,8411
V.MARAPPA,Independent,1009
K.NAGARAJU,Independent,1001
P.NATARAJA,Independent,889
T.M.NARAYANASWAMY,Independent,757
M.K.CHANDRAKALA,All India Mahila Empowerment Party,695
N.MANJUNATHA,Independent,667
G.C.RAMAPPA,Independent,585
BYRAPPA,Independent,556
M.NARAYANAPPA,Independent,554
K.H.VENKATARAMA,Independent,516
VENKATARAMAPPA,Independent,502
M.ARAVINDA,Independent,496
KEELUHOLALI SATHISH,Independent,484
T.R.SHEKAR,Independent,384
V.RAVIKUMAR,Ambedkar Samaj Party,378
T.V.BALAKRISHNA,Independent,367
D.VENKATARAVANAPPA,Independent,306
T.R.MANJUNATHA,Independent,304
VENKATARAVANAPPA.G,Independent,303
V.ADINARAYANA,Independent,295
M.AMARANATHA,Independent,291
A.RAJESH,Independent,287
V.SRINIVASA,Independent,237
G.SRINIVAS(MECHANIC),Independent,223
S.MANJUNATHA,Independent,203
P.RAMACHANDRAPPA,Independent,197
K.V.RAJENDRA,Independent,188
V.CHANDRAPPA,Independent,186
C.V.GOPAL,Independent,129
R.SRIDHAR,Independent,117
V.LAKSHMINARAYANA,Independent,115
P.VENKATESHAPPA,Independent,104
SUBRAMANI,Independent,104
HARENDRA V,Independent,102
SURESHA N,Independent,101
SARALA.M,Independent,90
None of the Above,None of the Above,646
