Candidate,Party,Votes
DEVANAND FULASING CHAVAN,Janata Dal (Secular),59709
KATAKADOND VITTAL DONDIBA,Indian National Congress,54108
GOPAL GOVIND KARJOL,Bharatiya Janata Party,53562
IRASUR SAGAR MALLAPPA,Bhaarateeya Janashakthi Congress,1624
RAHUL TIPPANNA BHASKAR,Independent,1276
KATAKADHOND DEEPAK GANGARAM,Hindustan Janta Party,931
KRISHNA THAVARU CHAVAN,All India Mahila Empowerment Party,614
BAGAYAT DADASAHEB SIDDAPPA,Independent,557
KAVITA DEEPAK KATAKADHOND,Bharatiya Rashtriya Mahila Sarvodaya Congress,506
T. K. DASAR,Independent,418
SANJEEV PUNDALEEK MANE,Namma Congress,408
BHARATI LAVAKUSH KALEBAG,Karnataka Jantha Paksha,317
None of the Above,None of the Above,1578
