Candidate,Party,Votes
SHANKAR B. PATIL MUNENAKOPPA,Bharatiya Janata Party,65718
N. H. KONARADDI,Janata Dal (Secular),45197
ASUTI VINOD KASHINATH,Indian National Congress,38906
SHIVANAND BASAPPA KARIGAR,Independent,4555
RAGHAVENDRA SHANKRAPPA TERADAL,Independent,980
GURAPPA NAGAPPA TOTAD,Janata Dal (United),776
RADDER SHRIDHAR BHEEMAPPA,Independent,302
MALANNAVAR SIDDALINGAPPA BHEEMAPPA,Independent,242
DR. JEDAR M.G,Jana Samanyara Party (Karnataka),236
RAMESH NAVALGUND BIN VENKAPPA,All India Mahila Empowerment Party,227
KRISHNARADDI KENCHARADDIYAVARA,Independent,190
AYYAPPA SHIRAKOL,Independent,158
MABUSAB RAJESAB DHARAWAD,Hindustan Janta Party,145
None of the Above,None of the Above,1914
