Candidate,Party,Votes
DR. K .SREENIVASAMURTHY,Janata Dal (Secular),69277
R NARAYANASWAMY,Indian National Congress,44956
M V NAGARAJU,Bharatiya Janata Party,42689
B. RAMAIAH,Janata Dal (United),932
N K LOKESHA,Samanya Janatha Party (Loktantrik),514
D H MANJULAMANI,Independent,510
SURESH RATHOD,Independent,352
DINESH KUMAR,Independent,300
G SHIVAKUMARI,All India Mahila Empowerment Party,290
S. LEPAKSHA,Lok Awaz Dal,248
DR SHIVARAJA,Karnataka Pragnyavantha Janatha Party,216
None of the Above,None of the Above,1151
