Candidate,Party,Votes
JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,87006
KAKASO PANDURANG PATIL,Indian National Congress,78500
KAMAT RAMESH ISHWAR,Bahujan Samaj Party,2476
ROHINI SHRIMANT DIXIT,All India Mahila Empowerment Party,1353
SHARAD RAMAGONDA PATIL,Independent,525
JAYARAM PARASHARAM MIRAJAKARKAKA,Independent,270
SAMBHAJI BAPUSO THORAVAT,Independent,266
VIJAYLAKSHMI APPASAHEB KURANE,Bharatiya Republican Paksha,165
SACHIN KALLAPPA MADHALE,Bahujan Mukti Party,133
ANIL SHIVAJI KAMATE,Independent,110
None of the Above,None of the Above,1447
