Candidate,Party,Votes
R ASHOKA,Bharatiya Janata Party,77868
V K GOPAL,Janata Dal (Secular),45702
M SRINIVAS,Indian National Congress,33400
RAVIGOWDA,Independent,371
AKMAL SHAREFF,All India Mahila Empowerment Party,366
MEERA RAGHAVENDRA,Independent,362
G T GOPAL,Independent,256
YOGESH,Independent,233
SUMA MAHINDHAR,Kannada Paksha,150
KUMAR H,Rashtriya Manav Vikas Party,129
S MANIVANNAN,Independent,120
GUNASHEKHAR M,Independent,97
PRABHAKAR,Independent,82
K FIROZ,Independent,68
None of the Above,None of the Above,2404
