Candidate,Party,Votes
SANJEEVA MATANDOOR,Bharatiya Janata Party,90073
SHAKUNTHALA.T. SHETTY,Indian National Congress,70596
I. C. KAILAS GOWDA,Janata Dal (Secular),1424
ABDUL MAJEED KOLPE,Janata Dal (United),527
VIDYASHRI. S,Independent,454
SHABANA. S. SHEIK,All India Mahila Empowerment Party,425
B. SHEKHAR MADAVU,Praja Parivartan Party,404
CHETHAN KUMAR PUTTUR,Independent,344
M. SHESHAPPA RAO (M. S. RAO),Samanya Janatha Party (Loktantrik),340
AMARNATHA .B. K.,Independent,244
ABDUL BASEER BOODIYAR,Independent,213
None of the Above,None of the Above,1227
