Candidate,Party,Votes
H.D.KUMARASWAMY,Janata Dal (Secular),92626
IQBAL HUSSAIN.H.A,Indian National Congress,69990
LEELAVATHI,Bharatiya Janata Party,4871
J.T.PRAKASH,Indian New Congress Party,1029
SURENDRA RAMANAGARA,Independent,469
SIDDAMARAIAH.S.,Independent,352
S.KANTARAJU,Independent,334
SHIVAKUMAR.S.,Independent,182
B.S.KUMAR,Independent,180
G.P.SHANKAREGOWDA,Independent,148
GULAB JAN,Independent,130
MANJUNATH. J,Independent,101
BHARATH.N,Independent,96
None of the Above,None of the Above,1144
