Candidate,Party,Votes
N A HARIS,Indian National Congress,60009
K VASUDEVAMURTHY,Bharatiya Janata Party,41804
N R SRIDHAR REDDY,Janata Dal (Secular),13569
RENUKA VISHWANATHAN,Aam Aadmi Party,2658
JOHN PAUL,Rashtriya Manav Vikas Party,340
PETER SAMSON BABU,Independent,327
PRABHU BOSCO,Independent,298
T DAYAL KUMAR,Independent,183
SYED ASIF BUKHARI,Independent,141
A A SANTOSH,Independent,114
SEVEN RAJ,Karnataka Pragnyavantha Janatha Party,112
NAGARAJ D S,Independent,111
NARASIMHA PRASAD M,All India Mahila Empowerment Party,105
JOSHUA M E RAJAN,Republican Party of India (A),69
ANTHONY RAJ S,Independent,58
CHANDRASHEKAR S B,Independent,54
AVINASH DASAN,Independent,46
ABRAHAM YATES,Independent,36
None of the Above,None of the Above,1386
