Candidate,Party,Votes
RAMAPPA SOBEPPA LAMANI,Bharatiya Janata Party,91967
DODDAMANI RAMAKRISHNA SHIDLINGAPPA,Indian National Congress,61974
CHANDRAKANTH SUBHAS KADROLLI,Bahujan Samaj Party,939
ARUNKUMAR VEERANNA TIRLAPUR,Janahitha Paksha,867
DODDAMANI MALLIKARJUN YALLAPPA,All India Mahila Empowerment Party,846
AMRUTA RATNAKAR YENI,Independent,651
RAJAVENKATESH DEVARAJ KARABHARI,Rani Chennamma Party,573
DURAGAPPA LAXMAPPA HARIJAN,Independent,539
L NARAYANASWAMY,Bharatiya Republican Paksha,522
GEETA KRISHNA NAYAK,Nationalist Congress Party,267
KUMAR BHIMASHEPPA LAMANI,BhartiyaBahujanKranti Dal,250
None of the Above,None of the Above,1209
