Candidate,Party,Votes
RAVINDRA SRIKANTAIAH,Janata Dal (Secular),101307
A.B.RAMESHA BANDISIDDEGOWDA,Indian National Congress,57619
NANJUNDEGOWDA.K. S,Bharatiya Janata Party,11326
VENKATESHA.C.S,Aam Aadmi Party,1941
MOHAN KUMAR U. KIRANGOORU PAAPU,Independent,1736
S.S.RAJASHEKARAIAH,Independent,462
SATHEESHA.H.M,Praja Parivartan Party,433
C.LINGEGOWDA,Independent,334
M.M. MAHESHA GOWDA,Independent,210
SURESHA.V,All India Mahila Empowerment Party,205
KEMPEGOWDA,Independent,136
None of the Above,None of the Above,946
