Candidate,Party,Votes
MANAGULI MALLAPPA CHANNAVEERAPPA,Janata Dal (Secular),70865
BHUSANUR RAMESH BALAPPA,Bharatiya Janata Party,61560
SALI MALLANNA NINGAPPA,Indian National Congress,22818
SHAMASHODDIN KHAJESAB MULLA,Nationalist Congress Party,918
NAGESH LAKKU RATHOD,Independent,781
GULSHANBI DAVALSAB NADAF,All India Mahila Empowerment Party,703
LIYAKHATALI MIRASAHEB DARGA,Praja Parivartan Party,638
MALLU NAGAPPA PUJARI,Independent,576
IRANNA MADIVALAPPA VISHWAKARMA,Independent,415
None of the Above,None of the Above,1222
