Candidate,Party,Votes
B SATHYANARAYANA,Janata Dal (Secular),74338
T B JAYACHANDRA,Indian National Congress,63973
S R GOWDA,Bharatiya Janata Party,16959
C M NAGARAJU,Independent,14468
CHIDANAND M GOWDA,Independent,3610
GIREESH,Communist Party of India,1457
KAVITHA R MANANGI,Samanya Janatha Party (Loktantrik),1179
SHASHIKUMAR SIRA,Independent,649
S N KANTHARAJU,Independent,503
B A MANJUNATHA,Independent,479
RANGAPPA,Independent,471
M L A R KAMBANNA,Independent,456
GURUSIDDAPPA M.,Independent,439
D LAKSHMAIAH,Independent,419
K MANJUNATHA,Independent,296
None of the Above,None of the Above,568
