Candidate,Party,Votes
K R RAMESH KUMAR,Indian National Congress,93571
G K VENKATASHIVAREDDY,Janata Dal (Secular),83019
DR VENU GOPAL K N,Bharatiya Janata Party,4208
G.K.VENKATASHIVAREDDY,Independent,837
P R SURYA NARAYANA SWAMI,Communist Party of India (Marxist),784
VENKATASHIVAREDDY,Independent,493
K.SRINIVASAGOWDA,Independent,329
SATHYA ARUNDATHI,Republican Sena,145
RAMESHBABU,Independent,134
A V RAMESH KUMAR,Independent,106
SANDEEP M.G,All India Mahila Empowerment Party,97
S RAMESHKUMAR,Independent,96
None of the Above,None of the Above,689
