Candidate,Party,Votes
B.C. NAGESH,Bharatiya Janata Party,61383
K. SHADAKSHARI,Indian National Congress,35820
LOKESHWARA,Janata Dal (Secular),17027
K.T. SHANTHAKUMAR,Independent,13506
G. NARAYAN,Independent,8689
B. NANJAMARI,Independent,6212
T N KUMARASWAMY,Independent,3018
MYLARI .M.,Independent,2348
M. RAMESHA,All India Mahila Empowerment Party,660
T. SHIVANAG,Independent,501
DR. S. SHOBHA,Independent,425
ANANTHASHAYANA .A.T.,Independent,335
SANTHOSH BHYRATAE,Shivsena,306
R S RAJASHEKHAR,Independent,272
N.L. MALLESH (MALLI),Independent,213
None of the Above,None of the Above,856
