Candidate,Party,Votes
D C GOWRISHANKAR,Janata Dal (Secular),82740
B SURESH GOWDA,Bharatiya Janata Party,77100
RAYASANDRA RAVIKUMAR,Indian National Congress,7633
SIDDARAMEGOWDA T B,Independent,906
TAJUDDIN SHARIFF,Welfare Party Of India,718
K V SRINIVASKALKERE,Independent,508
SUNIL YADAV S,All India Mahila Empowerment Party,351
SHABBIR AHMED,Independent,239
ANWAR,Independent,220
ARUN GOWDA H B,Independent,150
YOGANARASIMHAMURTHY T H,Independent,140
GULURU RANGAIAH NAGARAJU,Independent,97
None of the Above,None of the Above,1530
