Candidate,Party,Votes
M. KRISHNAPPA,Indian National Congress,73353
H. RAVINDRA,Bharatiya Janata Party,70578
PARAMASHIVA N.E,Janata Dal (Secular),8174
AMJAD KHAN,Samanya Janatha Party (Loktantrik),364
C.K RAVI,Indian New Congress Party,353
SYED MUJAHID,Independent,351
M.MALLIKARJUNA,Independent,320
VIJAY KUMAR. N,Janata Dal (United),181
H.RAVI,Karnataka Pragnyavantha Janatha Party,150
ARUNKUMAR. C,Republican Party of India,127
K.R PRAKASH,Independent,109
YODHA RAVI GOWDA,Kannada Paksha,106
WAHEEDA BANU,Jai Bharath Jena Sena Party,97
NARASIMHA L,Independent,91
BUDAYYA B PUJERI,Karunaadu Party,83
None of the Above,None of the Above,1967
