Candidate,Party,Votes
VENKATREDDY MUDNAL,Bharatiya Janata Party,62227
DR.A B MAALAKARADDY,Indian National Congress,49346
A.C. KADLOOR,Janata Dal (Secular),25774
M. BASAVARAJ PADUKOTI,All India Mahila Empowerment Party,1074
IRAPPA M.KASAN,Bhartiya Republican Party (Insan),1068
SAIDAPPA,Bharatiya Prajagala Kalyana Paksha,993
MARUTI RAO,Dr. Ambedkar People's Party,790
ANANTHA REDDY,Independent,766
KRISHNA. K,Pyramid Party of India,427
DR DEVANAND KOLI,Hindustan Janta Party,336
None of the Above,None of the Above,1648
