Candidate,Party,Votes
S.R.VISHWANATH,Bharatiya Janata Party,120110
A M HANUMANTHEGOWDA,Janata Dal (Secular),77607
M N GOPALAKRISHNA,Indian National Congress,41449
H MARAPPA,Praja Parivartan Party,914
HANUMANTHEGOWDA H A,Independent,547
UMESH B,Rashtriya Manav Vikas Party,463
KRISHNA MURTHY L S,Independent,416
DR.K.S.SWAMY,Independent,393
SYED NADEEM S,All India Mahila Empowerment Party,342
NARAYANASWAMY M,Independent,264
N.RAMAKRISHNAPPA,Karnataka Jantha Paksha,227
H K GOPALA KRISHNA,Independent,215
SYED NIJAM @ NIZAMUDDIN SHAH KHADRI,Federal Congress of India,137
None of the Above,None of the Above,2051
