STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,CHAMARAJANAGAR,C PUTTARANGASHETTY,INDIAN NATIONAL CONGRESS,75963
KARNATAKA,CHAMARAJANAGAR,K R MALLIKARJUNAPPA,BHARATIYA JANATA PARTY,71050
KARNATAKA,CHAMARAJANAGAR,A M MALLIKARJUNASWAMY (ALUR MALLU),BAHUJAN SAMAJ PARTY,7134
KARNATAKA,CHAMARAJANAGAR,VATAL NAGARAJ,KANNADA CHALAVALI VATAL PAKSHA,5977
KARNATAKA,CHAMARAJANAGAR,M HONNURAIAH,INDEPENDENT,904
KARNATAKA,CHAMARAJANAGAR,NARAYANASWAMY J,SAMANYA JANATHA PARTY (LOKTANTRIK),556
KARNATAKA,CHAMARAJANAGAR,RANGASWAMY,INDEPENDENT,552
KARNATAKA,CHAMARAJANAGAR,SURESHA B N,INDEPENDENT,540
KARNATAKA,CHAMARAJANAGAR,SARASWATHI M R,ALL INDIA MAHILA EMPOWERMENT PARTY,523
KARNATAKA,CHAMARAJANAGAR,LAWYER CHINNASWAMY M,INDEPENDENT,506
KARNATAKA,CHAMARAJANAGAR,M S MALLIKARJUN,INDEPENDENT,441
KARNATAKA,CHAMARAJANAGAR,PRASANNAKUMAR B,INDEPENDENT,360
KARNATAKA,CHAMARAJANAGAR,S GANESH,BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY,279
KARNATAKA,CHAMARAJANAGAR,NAGASUNDARA D,BHARATIYA REPUBLICAN PAKSHA,263
KARNATAKA,CHAMARAJANAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2063
KARNATAKA,KOLLEGAL,N. MAHESH,BAHUJAN SAMAJ PARTY,71792
KARNATAKA,KOLLEGAL,A.R. KRISHNA MURTHY,INDIAN NATIONAL CONGRESS,52338
KARNATAKA,KOLLEGAL,G.N. NANJUNDA SWAMY,BHARATIYA JANATA PARTY,39690
KARNATAKA,KOLLEGAL,CHIKKASAVAKA. S,REPUBLICAN PARTY OF INDIA (A),1591
